id,intent,text
0,Goodbye,have a good night
1,Goodbye,have a nice day as well
2,Goodbye,peace
3,Goodbye,see you later
4,Goodbye,bye
5,Goodbye,great bye
6,Goodbye,good talking to you
7,Goodbye,ok peace
8,Goodbye,peace out
9,Goodbye,alright bye
10,Goodbye,Have a good one.
11,Goodbye,bye now
12,Goodbye,alright im out
13,Goodbye,Good bye.
14,Goodbye,nice talking with ya
15,Goodbye,you too bye
16,Goodbye,bye
17,Goodbye,bye bye
18,Goodbye,you too
19,Goodbye,see you later alligator
20,Goodbye,have a nice day
21,Goodbye,alright im gonna go
22,Goodbye,thanks goodbye
23,Goodbye,aite see ya
24,Goodbye,take care
25,Goodbye,adios
26,Goodbye,Have a good day
27,Goodbye,That's all for now. Bye.
28,Goodbye,alright bye bye
29,Goodbye,alright im outta here
30,Goodbye,"I appreciate your help, have a good day!"
31,Goodbye,same to you bye now
32,Goodbye,have a good night!
33,Goodbye,peace out homie
34,Goodbye,thanks for the help! bye
35,Goodbye,Have a good evening
36,Goodbye,i gotta go now
37,Goodbye,talk to you later
38,Goodbye,I'll ttyl
39,Goodbye,ttyl
40,Goodbye,goodbye
41,Goodbye,ok good bye
42,Goodbye,enjoy the rest of your day
43,Goodbye,Thank you. Goodbye.
44,Goodbye,bye now thanks
45,Goodbye,Bye.
46,Goodbye,bye then
47,Goodbye,have a good one
48,Goodbye,aite peace
49,Greeting,Hi there! Is someone around?
50,Greeting,hey good afternoon
51,Greeting,how's it going
52,Greeting,"Hello, here I am again with a question."
53,Greeting,let's go
54,Greeting,hi good morning
55,Greeting,hello again
56,Greeting,Hi
57,Greeting,yo whats up
58,Greeting,"hi there, can someone help"
59,Greeting,sup
60,Greeting,hey dude
61,Greeting,hello hi
62,Greeting,good evening
63,Greeting,"Hi, is someone around?"
64,Greeting,goodmorning
65,Greeting,"Hi, good day!"
66,Greeting,hi there
67,Greeting,"Hi, there"
68,Greeting,what's up
69,Greeting,what it do
70,Greeting,greetings
71,Greeting,goodevening
72,Greeting,hi
73,Greeting,hey whats happening
74,Greeting,hey whats going on
75,Greeting,what happening
76,Greeting,hi hows it going
77,Greeting,"Hello, there!"
78,Greeting,hello
79,Greeting,hola
80,Greeting,hey i need some help
81,Greeting,howdy
82,Greeting,"Hi, how's it going"
83,Greeting,hey there
84,Greeting,hey
85,Greeting,good morning
86,Greeting,hey good evening
87,Greeting,good afternoon
88,Greeting,i have a question
89,Greeting,morning
90,Greeting,good day
91,Greeting,just going to say hi
92,Greeting,moin
93,Greeting,hey hey
94,Greeting,whadup
95,Greeting,"Hi, is there anybody here?"
96,Greeting,good evening!
97,Greeting,yo
98,Greeting,hello there
99,Greeting,"hello, anyone there"
100,Greeting,hows it going
101,Greeting,how you doing
102,Deny,no
103,Deny,no I cannot
104,Deny,negative
105,Deny,not needed
106,Deny,nope
107,Deny,don't do that
108,Deny,definitely not
109,Deny,no no don't
110,Deny,thanks but no
111,Deny,not exactly
112,Deny,sorry no
113,Deny,thanks but not at all
114,Deny,not at all
115,Deny,no but thank you
116,Deny,no that's okay
117,Deny,are you kidding no
118,Deny,don't do it
119,Deny,nope not really
120,Deny,no thanks not right now
121,Deny,no need
122,Deny,no never
123,Deny,not interested
124,Deny,no sorry
125,Deny,no you didnt
126,Deny,it's not
127,Deny,nah not really
128,Deny,I don't
129,Deny,not right now
130,Deny,no don't
131,Deny,no that's be all
132,Deny,of course not
133,Deny,never
134,Deny,no I would not
135,Deny,no way
136,Deny,nah I'm good
137,Deny,I don't think so
138,Deny,not right now thanks
139,Deny,I don't want that
140,Deny,not really no
141,Deny,uh no
142,Deny,zero percent
143,Deny,not at this time
144,Deny,I think no
145,Deny,not even close
146,Deny,it isn't
147,Deny,absolutely no
148,Deny,I don't want to
149,Deny,do not
150,Deny,absolutely not
151,Deny,no forget
152,Deny,not working
153,Deny,that didnt help at all
154,Deny,no way no
155,Deny,no actually
156,Deny,not today
157,Deny,no im still having an issue
158,Deny,not
159,Deny,"Sorry, it's not working"
160,Deny,no need thanks
161,Deny,I'm not
162,Deny,thanks but not this time
163,Deny,"no, it's not resolved"
164,Deny,I say no
165,Deny,no it isn't
166,Deny,don't
167,Deny,no thank you very much
168,Deny,let's not
169,Deny,I said no
170,Deny,no that's fine thank you
171,Deny,no thanks
172,Deny,not really
173,Deny,no that's fine
174,Deny,not this
175,Deny,no just no
176,Deny,no thank you though
177,Deny,no we are good
178,Deny,thanks but no thanks
