dialog_act,utterances,split,actor
requestforinstruction,directions please,train,Agent
requestforinstruction,how can I help?,train,Agent
requestforinstruction,What should I do today?,train,Agent
requestforinstruction,Next?,train,Agent
requestforinstruction,hey how can I help?,train,Agent
requestforinstruction,first task?,train,Agent
requestforinstruction,Hello...What is my first task ),train,Agent
requestforinstruction,what can I help you with?,train,Agent
requestforinstruction,What shall I do today?,train,Agent
requestforinstruction,next?,train,Agent
requestforinstruction,what is the task?,train,Agent
requestforinstruction,what do I do first?,train,Agent
requestforinstruction,tasks?,train,Agent
requestforinstruction,what should I do?,train,Agent
requestforinstruction,what can i do today,train,Agent
requestforinstruction,next,train,Agent
requestforinstruction,what shall I do today?,train,Agent
requestforinstruction,what can I do?,train,Agent
requestforinstruction,what should i do today?,train,Agent
requestforinstruction,what should i do?,train,Agent
requestforinstruction,what is my assignment?,train,Agent
requestforinstruction,task plz,train,Agent
requestforinstruction,enxt,train,Agent
requestforinstruction,how may I help you today?,train,Agent
requestforinstruction,What's our first task?,train,Agent
requestforinstruction,What should I do next?,train,Agent
requestforinstruction,First task?,train,Agent
requestforinstruction,how can i help?,train,Agent
requestforinstruction,is that all?,train,Agent
requestforinstruction,How can I help,train,Agent
requestforinstruction,what is my task?,train,Agent
requestforinstruction,"Hi, what are my directions?",train,Agent
requestforinstruction,What should  I do today?,train,Agent
requestforinstruction,what should  i do today,train,Agent
requestforinstruction,what can i do for you?,train,Agent
requestforinstruction,what is my task today?,train,Agent
requestforinstruction,whats the first step?,train,Agent
requestforinstruction,please direct me,train,Agent
requestforinstruction,task please,train,Agent
requestforinstruction,What should we do today,train,Agent
requestforinstruction,how may I assist you today?,train,Agent
requestforinstruction,whats the task?,train,Agent
requestforinstruction,What is my first task?,train,Agent
requestforinstruction,what should i do today,train,Agent
requestforinstruction,how can I help you?,train,Agent
requestforinstruction,all set?,train,Agent
requestforinstruction,how may i help you?,train,Agent
requestforinstruction,what should i do,train,Agent
requestforinstruction,What do I do first?,train,Agent
requestforinstruction,what would you like me to do?,train,Agent
requestforinstruction,What next?,train,Agent
requestforinstruction,whats the first task?,train,Agent
requestforinstruction,"hello, what should I do today?",train,Agent
requestforinstruction,"Okay, what's next?",train,Agent
requestforinstruction,hi how can i help,train,Agent
requestforinstruction,WHAT SHALL I  do?,train,Agent
requestforinstruction,How can I help?,train,Agent
requestforinstruction,"Hi, how are you? What would you like me to do today?",train,Agent
requestforinstruction,"Hello, what is my task",train,Agent
requestforinstruction,: ) what's next?,train,Agent
requestforinstruction,What's next?,train,Agent
requestforinstruction,"I can reclean the other 2, too if neccessary...",train,Agent
requestforinstruction,how can i help,train,Agent
requestforinstruction,how can I help today?,train,Agent
requestforinstruction,what should i do next?,train,Agent
requestforinstruction,next,train,User
requestforinstruction,there,train,User
requestforinstruction,on the table,train,User
requestforinstruction,what do require?,train,Agent
requestforinstruction,lets go,train,Agent
requestforinstruction,good?,train,Agent
requestforinstruction,what  are my directions?,train,Agent
requestforinstruction,how can I help you today,train,Agent
requestforinstruction,task?,train,Agent
requestforinstruction,what do I do?,train,Agent
requestforinstruction,Done?,train,Agent
requestforinstruction,whats next?,train,Agent
requestforinstruction,How can i help,train,Agent
requestforinstruction,what shall i do today?,train,Agent
requestforinstruction,How may i help?,train,Agent
requestforinstruction,Wat's first?,train,Agent
requestforinstruction,What next>,train,Agent
requestforinstruction,any more,train,Agent
requestforinstruction,"What is my first task, please?",train,Agent
requestforinstruction,What should I slice,train,Agent
requestforinstruction,What can I do for you today?1,train,Agent
requestforinstruction,what can I help with?,train,Agent
requestforinstruction,what are we doing today?,train,Agent
requestforinstruction,what next/,train,Agent
requestforinstruction,What's today's task,train,Agent
requestforinstruction,Next,train,Agent
requestforinstruction,Whats the task,train,Agent
requestforinstruction,what can i do for you today,train,Agent
requestforinstruction,Is there anything I can do today for you?,train,Agent
requestforinstruction,is there another one?,train,Agent
requestforinstruction,What can I help you with?,train,Agent
requestforinstruction,what tasks do I do today?,train,Agent
requestforinstruction,waht can i do today,train,Agent
requestforinstruction,What can I do?,train,Agent
requestforinstruction,what can I do for you?,train,Agent
requestforinstruction,how can i help today,train,Agent
requestforinstruction,what shall I   do today?,train,Agent
requestforinstruction,Is that all?,train,Agent
requestforinstruction,whats first?,train,Agent
requestforinstruction,what should i do today,train,User
requestforinstruction,Tell me what to do today,train,Agent
requestforinstruction,What is my task?,train,Agent
requestforinstruction,What shall I  be doing today?,train,Agent
requestforinstruction,what do you need help with?,train,Agent
requestforinstruction,what now?,train,Agent
requestforinstruction,whats my task,train,Agent
requestforinstruction,now?,train,Agent
requestforinstruction,what shall we do today,train,Agent
requestforinstruction,what's the next step,train,Agent
requestforinstruction,what next,train,Agent
requestforinstruction,are you there,train,Agent
requestforinstruction,whats first,train,Agent
requestforinstruction,What's the task for today?,train,Agent
requestforinstruction,how can I help,train,Agent
requestforinstruction,what do ya need?,train,Agent
requestforinstruction,"hi, what should I do today?",train,Agent
requestforinstruction,what to do,train,Agent
requestforinstruction,first step?,train,Agent
requestforinstruction,ho can I help,train,Agent
requestforinstruction,"how""",train,Agent
requestforinstruction,my task today,train,Agent
requestforinstruction,"How may I assist you, today?",train,Agent
requestforinstruction,what do you need me to do?,train,Agent
requestforinstruction,What am I doing today?,train,Agent
requestforinstruction,what's the task,train,Agent
requestforinstruction,what should I do today?,train,Agent
requestforinstruction,hello how can I help?,train,Agent
requestforinstruction,what should I do,train,Agent
requestforinstruction,ok what should I do next?,train,Agent
requestforinstruction,hello what can I do?,train,Agent
requestforinstruction,is the task complete now?,train,Agent
requestforinstruction,how may i help,train,Agent
requestforinstruction,what do i do today,train,Agent
requestforinstruction,what can i help with?,train,Agent
requestforinstruction,How may I assist you?,train,Agent
requestforinstruction,what is my task,train,Agent
requestforinstruction,what can I do today?,train,Agent
requestforinstruction,what next?,train,Agent
requestforinstruction,my task,train,Agent
requestforinstruction,what can i do today?,train,Agent
requestforinstruction,now what?,train,Agent
requestforinstruction,how can i help you?,train,Agent
requestforinstruction,what do i do,train,Agent
requestforinstruction,how may i help you with,train,Agent
requestforinstruction,my task is which,train,Agent
