id,intent,text
0,goodbye,have a good night
1,goodbye,have a nice day as well
2,goodbye,peace
3,goodbye,see you later
4,goodbye,bye
5,goodbye,great bye
6,goodbye,good talking to you
7,goodbye,ok peace
8,goodbye,peace out
9,goodbye,alright bye
10,goodbye,Have a good one.
11,goodbye,bye now
12,goodbye,alright im out
13,goodbye,Good bye.
14,goodbye,nice talking with ya
15,goodbye,you too bye
16,goodbye,bye
17,goodbye,bye bye
18,goodbye,you too
19,goodbye,see you later alligator
20,goodbye,have a nice day
21,goodbye,alright im gonna go
22,goodbye,thanks goodbye
23,goodbye,aite see ya
24,goodbye,take care
25,goodbye,adios
26,goodbye,Have a good day
27,goodbye,That's all for now. Bye.
28,goodbye,alright bye bye
29,goodbye,alright im outta here
30,goodbye,"I appreciate your help, have a good day!"
31,goodbye,same to you bye now
32,goodbye,have a good night!
33,goodbye,peace out homie
34,goodbye,thanks for the help! bye
35,goodbye,Have a good evening
36,goodbye,i gotta go now
37,goodbye,talk to you later
38,goodbye,I'll ttyl
39,goodbye,ttyl
40,goodbye,goodbye
41,goodbye,ok good bye
42,goodbye,enjoy the rest of your day
43,goodbye,Thank you. Goodbye.
44,goodbye,bye now thanks
45,goodbye,Bye.
46,goodbye,bye then
47,goodbye,have a good one
48,goodbye,aite peace
49,greeting,Hi there! Is someone around?
50,greeting,hey good afternoon
51,greeting,how's it going
52,greeting,"Hello, here I am again with a question."
53,greeting,let's go
54,greeting,hi good morning
55,greeting,hello again
56,greeting,Hi
57,greeting,yo whats up
58,greeting,"hi there, can someone help"
59,greeting,sup
60,greeting,hey dude
61,greeting,hello hi
62,greeting,good evening
63,greeting,"Hi, is someone around?"
64,greeting,goodmorning
65,greeting,"Hi, good day!"
66,greeting,hi there
67,greeting,"Hi, there"
68,greeting,what's up
69,greeting,what it do
70,greeting,greetings
71,greeting,goodevening
72,greeting,hi
73,greeting,hey whats happening
74,greeting,hey whats going on
75,greeting,what happening
76,greeting,hi hows it going
77,greeting,"Hello, there!"
78,greeting,hello
79,greeting,hola
80,greeting,hey i need some help
81,greeting,howdy
82,greeting,"Hi, how's it going"
83,greeting,hey there
84,greeting,hey
85,greeting,good morning
86,greeting,hey good evening
87,greeting,good afternoon
88,greeting,i have a question
89,greeting,morning
90,greeting,good day
91,greeting,just going to say hi
92,greeting,moin
93,greeting,hey hey
94,greeting,whadup
95,greeting,"Hi, is there anybody here?"
96,greeting,good evening!
97,greeting,yo
98,greeting,hello there
99,greeting,"hello, anyone there"
100,greeting,hows it going
101,greeting,how you doing
102,no,no
103,no,no I cannot
104,no,negative
105,no,not needed
106,no,nope
107,no,don't do that
108,no,definitely not
109,no,no no don't
110,no,thanks but no
111,no,not exactly
112,no,sorry no
113,no,thanks but not at all
114,no,not at all
115,no,no but thank you
116,no,no that's okay
117,no,are you kidding no
118,no,don't do it
119,no,nope not really
120,no,no thanks not right now
121,no,no need
122,no,no never
123,no,not interested
124,no,no sorry
125,no,no you didnt
126,no,it's not
127,no,nah not really
128,no,I don't
129,no,not right now
130,no,no don't
131,no,no that's be all
132,no,of course not
133,no,never
134,no,no I would not
135,no,no way
136,no,nah I'm good
137,no,I don't think so
138,no,not right now thanks
139,no,I don't want that
140,no,not really no
141,no,uh no
142,no,zero percent
143,no,not at this time
144,no,I think no
145,no,not even close
146,no,it isn't
147,no,absolutely no
148,no,I don't want to
149,no,do not
150,no,absolutely not
151,no,no forget
152,no,not working
153,no,that didnt help at all
154,no,no way no
155,no,no actually
156,no,not today
157,no,no im still having an issue
158,no,not
159,no,"Sorry, it's not working"
160,no,no need thanks
161,no,I'm not
162,no,thanks but not this time
163,no,"no, it's not resolved"
164,no,I say no
165,no,no it isn't
166,no,don't
167,no,no thank you very much
168,no,let's not
169,no,I said no
170,no,no that's fine thank you
171,no,no thanks
172,no,not really
173,no,no that's fine
174,no,not this
175,no,no just no
176,no,no thank you though
177,no,no we are good
178,no,thanks but no thanks
179,no,nah
180,no,I disagree
181,no,doesn't work
182,no,nothing else
183,no,disagree
184,no,actually no
185,no,no that's wrong
186,no,nope sorry
187,no,apparently not
188,no,not this time
189,no,nothing
190,no,no maybe next time
191,no,I don't want
192,no,not that
193,no,nothing else thanks
194,no,no thank you
195,no,no not really
196,no,no do not
197,no,no that's ok
198,no,no leave it
199,no,how about no
200,no,no incorrect
201,no,I can't
202,thanks,Thank you for taking the time to explain this.
203,thanks,Thank you so much! I really appreciate it
