dialog_act,utterances,split,actor,include?,intent,next steps
requestforinstruction,directions please,train,agent,y,Request For Instruction,
requestforinstruction,how can I help?,train,agent,y,Request For Instruction,
requestforinstruction,What should I do today?,train,agent,y,Request For Instruction,
requestforinstruction,Next?,train,agent,y,Request For Instruction,
requestforinstruction,hey how can I help?,train,agent,y,Request For Instruction,
requestforinstruction,first task?,train,agent,y,Request For Instruction,
requestforinstruction,Hello...What is my first task ),train,agent,y,Request For Instruction,
requestforinstruction,what can I help you with?,train,agent,y,Request For Instruction,
requestforinstruction,What shall I do today?,train,agent,y,Request For Instruction,
requestforinstruction,next?,train,agent,y,Request For Instruction,
requestforinstruction,what is the task?,train,agent,y,Request For Instruction,
requestforinstruction,what do I do first?,train,agent,y,Request For Instruction,
requestforinstruction,tasks?,train,agent,y,Request For Instruction,
requestforinstruction,what should I do?,train,agent,y,Request For Instruction,
requestforinstruction,what can i do today,train,agent,y,Request For Instruction,
requestforinstruction,next,train,agent,y,Request For Instruction,
requestforinstruction,what shall I do today?,train,agent,y,Request For Instruction,
requestforinstruction,what can I do?,train,agent,y,Request For Instruction,
requestforinstruction,what should i do today?,train,agent,y,Request For Instruction,
requestforinstruction,what should i do?,train,agent,y,Request For Instruction,
requestforinstruction,what is my assignment?,train,agent,y,Request For Instruction,
requestforinstruction,task plz,train,agent,y,Request For Instruction,
requestforinstruction,enxt,train,agent,y,Request For Instruction,
requestforinstruction,how may I help you today?,train,agent,y,Request For Instruction,
requestforinstruction,What's our first task?,train,agent,y,Request For Instruction,
requestforinstruction,What should I do next?,train,agent,y,Request For Instruction,
requestforinstruction,First task?,train,agent,y,Request For Instruction,
requestforinstruction,how can i help?,train,agent,y,Request For Instruction,
requestforinstruction,is that all?,train,agent,y,Request For Instruction,
requestforinstruction,How can I help,train,agent,y,Request For Instruction,
requestforinstruction,what is my task?,train,agent,y,Request For Instruction,
requestforinstruction,"Hi, what are my directions?",train,agent,y,Request For Instruction,
requestforinstruction,What should  I do today?,train,agent,y,Request For Instruction,
requestforinstruction,what should  i do today,train,agent,y,Request For Instruction,
requestforinstruction,what can i do for you?,train,agent,y,Request For Instruction,
requestforinstruction,what is my task today?,train,agent,y,Request For Instruction,
requestforinstruction,whats the first step?,train,agent,y,Request For Instruction,
requestforinstruction,please direct me,train,agent,y,Request For Instruction,
requestforinstruction,task please,train,agent,y,Request For Instruction,
requestforinstruction,What should we do today,train,agent,y,Request For Instruction,
requestforinstruction,how may I assist you today?,train,agent,y,Request For Instruction,
requestforinstruction,whats the task?,train,agent,y,Request For Instruction,
requestforinstruction,What is my first task?,train,agent,y,Request For Instruction,
requestforinstruction,what should i do today,train,agent,y,Request For Instruction,
requestforinstruction,how can I help you?,train,agent,y,Request For Instruction,
requestforinstruction,all set?,train,agent,y,Request For Instruction,
requestforinstruction,how may i help you?,train,agent,y,Request For Instruction,
requestforinstruction,what should i do,train,agent,y,Request For Instruction,
requestforinstruction,What do I do first?,train,agent,y,Request For Instruction,
requestforinstruction,what would you like me to do?,train,agent,y,Request For Instruction,
requestforinstruction,What next?,train,agent,y,Request For Instruction,
requestforinstruction,whats the first task?,train,agent,y,Request For Instruction,
requestforinstruction,"hello, what should I do today?",train,agent,y,Request For Instruction,
requestforinstruction,"Okay, what's next?",train,agent,y,Request For Instruction,
requestforinstruction,hi how can i help,train,agent,y,Request For Instruction,
requestforinstruction,WHAT SHALL I  do?,train,agent,y,Request For Instruction,
requestforinstruction,How can I help?,train,agent,y,Request For Instruction,
requestforinstruction,"Hi, how are you? What would you like me to do today?",train,agent,y,Request For Instruction,
requestforinstruction,"Hello, what is my task",train,agent,y,Request For Instruction,
requestforinstruction,: ) what's next?,train,agent,y,Request For Instruction,
requestforinstruction,What's next?,train,agent,y,Request For Instruction,
requestforinstruction,"I can reclean the other 2, too if neccessary...",train,agent,y,Request For Instruction,
requestforinstruction,how can i help,train,agent,y,Request For Instruction,
requestforinstruction,how can I help today?,train,agent,y,Request For Instruction,
requestforinstruction,what should i do next?,train,agent,y,Request For Instruction,
requestforinstruction,next,train,agent,y,Request For Instruction,
requestforinstruction,there,train,agent,y,Request For Instruction,
requestforinstruction,on the table,train,agent,y,Request For Instruction,
requestforinstruction,what do require?,train,agent,y,Request For Instruction,
requestforinstruction,lets go,train,agent,y,Request For Instruction,
requestforinstruction,good?,train,agent,y,Request For Instruction,
requestforinstruction,what  are my directions?,train,agent,y,Request For Instruction,
requestforinstruction,how can I help you today,train,agent,y,Request For Instruction,
requestforinstruction,task?,train,agent,y,Request For Instruction,
requestforinstruction,what do I do?,train,agent,y,Request For Instruction,
requestforinstruction,Done?,train,agent,y,Request For Instruction,
requestforinstruction,whats next?,train,agent,y,Request For Instruction,
requestforinstruction,How can i help,train,agent,y,Request For Instruction,
requestforinstruction,what shall i do today?,train,agent,y,Request For Instruction,
requestforinstruction,How may i help?,train,agent,y,Request For Instruction,
requestforinstruction,Wat's first?,train,agent,y,Request For Instruction,
requestforinstruction,What next>,train,agent,y,Request For Instruction,
requestforinstruction,any more,train,agent,y,Request For Instruction,
requestforinstruction,"What is my first task, please?",train,agent,y,Request For Instruction,
requestforinstruction,What should I slice,train,agent,y,Request For Instruction,
requestforinstruction,What can I do for you today?1,train,agent,y,Request For Instruction,
requestforinstruction,what can I help with?,train,agent,y,Request For Instruction,
requestforinstruction,what are we doing today?,train,agent,y,Request For Instruction,
requestforinstruction,what next/,train,agent,y,Request For Instruction,
requestforinstruction,What's today's task,train,agent,y,Request For Instruction,
requestforinstruction,Next,train,agent,y,Request For Instruction,
requestforinstruction,Whats the task,train,agent,y,Request For Instruction,
requestforinstruction,what can i do for you today,train,agent,y,Request For Instruction,
requestforinstruction,Is there anything I can do today for you?,train,agent,y,Request For Instruction,
requestforinstruction,is there another one?,train,agent,y,Request For Instruction,
requestforinstruction,What can I help you with?,train,agent,y,Request For Instruction,
requestforinstruction,what tasks do I do today?,train,agent,y,Request For Instruction,
requestforinstruction,waht can i do today,train,agent,y,Request For Instruction,
requestforinstruction,What can I do?,train,agent,y,Request For Instruction,
requestforinstruction,what can I do for you?,train,agent,y,Request For Instruction,
requestforinstruction,how can i help today,train,agent,y,Request For Instruction,
requestforinstruction,what shall I   do today?,train,agent,y,Request For Instruction,
requestforinstruction,Is that all?,train,agent,y,Request For Instruction,
requestforinstruction,whats first?,train,agent,y,Request For Instruction,
requestforinstruction,what should i do today,train,agent,y,Request For Instruction,
requestforinstruction,Tell me what to do today,train,agent,y,Request For Instruction,
requestforinstruction,What is my task?,train,agent,y,Request For Instruction,
requestforinstruction,What shall I  be doing today?,train,agent,y,Request For Instruction,
requestforinstruction,what do you need help with?,train,agent,y,Request For Instruction,
requestforinstruction,what now?,train,agent,y,Request For Instruction,
requestforinstruction,whats my task,train,agent,y,Request For Instruction,
requestforinstruction,now?,train,agent,y,Request For Instruction,
requestforinstruction,what shall we do today,train,agent,y,Request For Instruction,
requestforinstruction,what's the next step,train,agent,y,Request For Instruction,
requestforinstruction,what next,train,agent,y,Request For Instruction,
requestforinstruction,are you there,train,agent,y,Request For Instruction,
